Average Accuracy,40.91
Sentence Index,Original Sentence,Estimated Sentence,Accuracy (%)
1,Chapter XLVI,Chance UNK,0.0
2,Illustration Elizabeth had been a good deal disappointed in not finding a letter from Jane on their first arrival at Lambton and this disappointment had been renewed on each of the mornings that had now been spent there but on the third her repining was over and her sister justified by the receipt of two letters from her at once on one of which was marked that it had been missent elsewhere,I UNK Elizabeth had been a good deeply did in nor find a letter from UNK on the first arrived at Lausanne and this distress had been rested on each of the monster they had not be spared the burden on that they he read was overcome and he single just by the recollection of two leagues from her at on one one of which was material than it had been missed several eloquence,2.7777777777777777
3,Elizabeth was not surprised at it as Jane had written the direction remarkably ill,Elizabeth was not such a time UNK as UNK have wretch this divine remain ill,21.428571428571427
4,They had just been preparing to walk as the letters came in and her uncle and aunt leaving her to enjoy them in quiet set off by themselves,They had just being present to warm as the letter came inquisitive and her uncle and audible leaving her to endure that in quitted seat of by these,57.14285714285714
5,The one missent must be first attended to it had been written five days ago,There on might self must be fixed attached to it had been wretched fishing days again,0.0
6,The beginning contained an account of all their little parties and engagements with such news as the country afforded but the latter half which was dated a day later and written in evident agitation gave more important intelligence,They beings committed and accumulation of all the little passed and endowed with such nearly as the connected afford but the latter had which was dawn UNK lake and wrecked in every again gave most improved innocent,34.21052631578947
7,It was to this effect Since writing the above dearest Lizzy something has occurred of a most unexpected and serious nature but I am afraid of alarming yoube assured that we are all well,It was to the effect Sister wreak the about dearest Liberty so have occupied o far more unfortunate and several names but I am a UNK all you be assured they were are all wept,29.411764705882355
8,What I have to say relates to poor Lydia,When I had to say resolved to post Lycurgus,44.44444444444444
9,An express came at twelve last night just as we were all gone to bed from Colonel Forster to inform us that she was gone off to Scotland with one of his officers to own the truth with Wickham,And excellent carelessly at two UNK a night just as we were altered good to be from Constantinople For to induce us that she was gone of to Scotland with one of his of to own the traveller with William,2.564102564102564
10,Imagine our surprise,I mortal UNK success,0.0
11,To Kitty however it does not seem so wholly unexpected,To Kirwin how it do not see something when uniform,30.0
12,I am very very sorry,I am very very solitude,80.0
13,So imprudent a match on both sides,Sometimes imparting a man on board situation,28.57142857142857
14,But I am willing to hope the best and that his character has been misunderstood,But I am wished to how the be and throwing his children had been mistaken,53.333333333333336
15,Thoughtless and indiscreet I can easily believe him but this step and let us rejoice over it marks nothing bad at heart,The an incident I can easily before him but they stars and let us rendered over UNK n o banished at her,45.45454545454545
16,His choice is disinterested at least for he must know my father can give her nothing,His UNK UNK is did at length for her must knowing my father UNK a give her not,6.25
17,Our poor mother is sadly grieved,Our poor motion is said great,50.0
18,My father bears it better,My father before its be,40.0
19,How thankful am I that we never let them know what has been said against him we must forget it ourselves,How then am I they were nearly learned that knowledge who had been satisfied again him we must for its out,33.33333333333333
20,They were off Saturday night about twelve as is conjectured but were not missed till yesterday morning at eight,The weight of Safie night UNK UNK a UNK consumption but were not minister time yet more a UNK eight,21.052631578947366
21,The express was sent off directly,This expectation was series of difficulties,16.666666666666664
22,My dear Lizzy they must have passed within ten miles of us,My dear Lives the murderer had passed with tell mine of us,41.66666666666667
23,Colonel Forster gives us reason to expect him here soon,Could For girl us required to express his heartfelt solitude,20.0
24,Lydia left a few lines for his wife informing her of their intention,Lynn letter a few lines for him wishes increased her of the infliction,46.15384615384615
25,I must conclude for I cannot be long from my poor mother,I must come for I cannot be looking from my poor more,75.0
26,I am afraid you will not be able to make it out but I hardly know what I have written Without allowing herself time for consideration and scarcely knowing what she felt Elizabeth on finishing this letter instantly seized the other and opening it with the utmost impatience read as follows it had been written a day later than the conclusion of the first,I am afraid you will not be able to make it out but I hardly knew whither I had written William allow her time found cottagers and scorn knowledge why she feelings Elizabeth on finding the least in seek the other UNK UNK it with UNK immense renew as for it had been wretched UNK than the cousin of the fire,42.1875
27,By this time my dearest sister you have received my hurried letter I wish this may be more intelligible but though not confined for time my head is so bewildered that I cannot answer for being coherent,By this ties my dear sir you have restored my human letter I will the may be more in but this nothing could for time my height is so believe that I came and forced be consulted,51.35135135135135
28,Dearest Lizzy I hardly know what I would write but I have bad news for you and it cannot be delayed,Dear Like I hardly knew whither I would write but I had UNK a near for you and its can be described,33.33333333333333
29,Imprudent as a marriage between Mr,I may say man beautiful Mr,16.666666666666664
30,Wickham and our poor Lydia would be we are now anxious to be assured it has taken place for there is but too much reason to fear they are not gone to Scotland,With an our UNK o Lyons work berries we are now and to be UNK UNK place for there is but to much reserve to feel these are not going to Scotland,3.0303030303030303
31,Colonel Forster came yesterday having left Brighton the day before not many hours after the express,Could For can yet happy learned Britain the day before no many hours after this exile,37.5
32,Though Lydias short letter to Mrs,The Lynn s she led to Mr,0.0
33,F,UNK,0.0
34,gave them to understand that they were going to Gretna Green something was dropped by Denny expressing his belief that W,gave this took undertake that they were gone to Great Great so was dry by De exerted his behaviour them,38.095238095238095
35,never intended to go there or to marry Lydia at all which was repeated to Colonel F who instantly taking the alarm set off from B intending to trace their route,nearly intended to good that or to make Lynn at all when was restless to Constantinople UNK indeed taking that all sentiments of frost UNK insupportable to tranquillize the roads,25.806451612903224
36,He did trace them easily to Clapham but no farther for on entering that place they removed into a hackneycoach and dismissed the chaise that brought them from Epsom,He different treatment the earth to Clerval but n UNK forced one enjoyed the place that reflections in a had commenced and discovering the charge the breathe the fresh UNK,17.24137931034483
37,All that is known after this is that they were seen to continue the London road,All there is knowledge after them is through they were seemed to commence the London rose,56.25
38,I know not what to think,I knew not which towards think,50.0
39,After making every possible inquiry on that side London Colonel F,After many ever possible in on these silent London Constantinople UNK,36.36363636363637
