Average Accuracy,36.79
Sentence Index,Original Sentence,Estimated Sentence,Accuracy (%)
1,Chapter 24 My present situation was one in which all voluntary thought was swallowed up and lost,Charlotte 243 My present silence was one in which always voice there was UNK and love,41.17647058823529
2,I was hurried away by fury revenge alone endowed me with strength and composure it moulded my feelings and allowed me to be calculating and calm at periods when otherwise delirium or death would have been my portion,I was hurried away by furniture return also entirely me with stay and could it more my feelings and almost me to be calm and can at persuasion when other dependence or dejection would have been my poor,60.526315789473685
3,My first resolution was to quit Geneva forever my country which when I was happy and beloved was dear to me now in my adversity became hateful,My fingers resentment was to quite Georgiana for my countenance who when I was hardly and been was despatched to me not in my added being handsome,48.148148148148145
4,I provided myself with a sum of money together with a few jewels which had belonged to my mother and departed,I propose myself without a subject of money to with a few jealousy what had been to my more any delay,52.38095238095239
5,And now my wanderings began which are to cease but with life,And now my was beyond which arose to certain but with little,58.333333333333336
6,I have traversed a vast portion of the earth and have endured all the hardships which travellers in deserts and barbarous countries are wont to meet,I have truly a valuable point of the early and had engaged all that had whether travelling in deceived and bad cold are won to me,42.30769230769231
7,How I have lived I hardly know many times have I stretched my failing limbs upon the sandy plain and prayed for death,How I have little I have known may till have I struggled my father little up the same plague and prepare for delightful,43.47826086956522
8,But revenge kept me alive I dared not die and leave my adversary in being,But really keep me all I dare not disdain and let my advantage in being,53.333333333333336
9,When I quitted Geneva my first labour was to gain some clue by which I might trace the steps of my fiendish enemy,When I quite Georgiana my find latter was to gave so clever by what I might trusted the study of my first encouragement,47.82608695652174
10,But my plan was unsettled and I wandered many hours round the confines of the town uncertain what path I should pursue,But my pleasure was unfolded and I was make hours round the convenience of that to under which passion I should public,50.0
11,As night approached I found myself at the entrance of the cemetery where William Elizabeth and my father reposed,As night apprehension I for myself at the end of the ceased which Wickham Elizabeth and my father report,63.1578947368421
12,I entered it and approached the tomb which marked their graves,UNK it any apprehend them to who manner the ground,0.0
13,Everything was silent except the leaves of the trees which were gently agitated by the wind the night was nearly dark and the scene would have been solemn and affecting even to an uninterested observer,Everybody was sitting except the least of the transactions when we generally again by the with the niece was never day and though scene would have been so and after everybody to and UNK UNK object,45.714285714285715
14,The spirits of the departed seemed to flit around and to cast a shadow which was felt but not seen around the head of the mourner,The spoke of the deep seemed to UNK and to cards a she who was few but not seeking are the he of the morning,19.230769230769234
15,The deep grief which this scene had at first excited quickly gave way to rage and despair,The dear greater which they scarcely had at first expressed quite gave way to rain and dependence,52.94117647058824
16,They were dead and I lived their murderer also lived and to destroy him I must drag out my weary existence,They were delight and I like this must always liked and to deserve his I must drove our my we exceedingly,42.857142857142854
