Average Accuracy,41.50
Sentence Index,Original Sentence,Estimated Sentence,Accuracy (%)
1,Chapter 24 My present situation was one in which all voluntary thought was swallowed up and lost,Chapter UNK My provide sides was only instances which although voice that was swallowed up and loathing,47.05882352941176
2,I was hurried away by fury revenge alone endowed me with strength and composure it moulded my feelings and allowed me to be calculating and calm at periods when otherwise delirium or death would have been my portion,I was human away by fully received alone endowed me with stones and could it mourning my fears and allow me to be calmer and caused at peace which others dear or devils would have been my portion,60.526315789473685
3,My first resolution was to quit Geneva forever my country which when I was happy and beloved was dear to me now in my adversity became hateful,My first recollections was to quit Geneva followed my countenances whose while I was happy and beauty was dear to me not in my admiration beneath happy,62.96296296296296
4,I provided myself with a sum of money together with a few jewels which had belonged to my mother and departed,I prepared myself with a sum of money to with a feverish jewels which had been to my mother and delight,76.19047619047619
5,And now my wanderings began which are to cease but with life,And now my was before which are to century but with life,75.0
6,I have traversed a vast portion of the earth and have endured all the hardships which travellers in deserts and barbarous countries are wont to meet,I had trembled a varied powers of the earth and happy entered all that had when truth in deep and bade concealing are would to me,42.30769230769231
7,How I have lived I hardly know many times have I stretched my failing limbs upon the sandy plain and prayed for death,How I have lived I had knew made time have I still my father little upon the same pleasure and preserve for despair,52.17391304347826
8,But revenge kept me alive I dared not die and leave my adversary in being,But returned keep me although I dare not difficulty and leave my adversary in benefit,60.0
9,When I quitted Geneva my first labour was to gain some clue by which I might trace the steps of my fiendish enemy,When I quitted Geneva my first labours was to gain so clue by which I might traversed the study of my first entered,73.91304347826086
10,But my plan was unsettled and I wandered many hours round the confines of the town uncertain what path I should pursue,But my place was understood and I was many hours rose the consequences of them together understand what path I should pursuit,59.09090909090909
11,As night approached I found myself at the entrance of the cemetery where William Elizabeth and my father reposed,As night appearance I found myself at the end of the ceremony which William Elizabeth and my father reasoning,73.68421052631578
12,I entered it and approached the tomb which marked their graves,I entered it and applied the to which manifested the ground,54.54545454545454
13,Everything was silent except the leaves of the trees which were gently agitated by the wind the night was nearly dark and the scene would have been solemn and affecting even to an uninterested observer,Everything was silent extinguished the lessons of the truth which were gentle agitated by this wind the night was never day and the scaffold would have been sorrowful and affection evil to and unintelligible objects,60.0
14,The spirits of the departed seemed to flit around and to cast a shadow which was felt but not seen around the head of the mourner,The spirit of the delights seemed to UNK UNK and to call a she which was few but not set articles the head of the mountain,61.53846153846154
15,The deep grief which this scene had at first excited quickly gave way to rage and despair,The dear ground when these scenes had at first experienced quality gave way to rashly and despondency,47.05882352941176
16,They were dead and I lived their murderer also lived and to destroy him I must drag out my weary existence,These were deranged and I like the murderer although lips and to devote him I must drew our my were extinguished,47.61904761904761
17,I knelt on the grass and kissed the earth and with quivering lips exclaimed By the sacred earth on which I kneel by the shades that wander near me by the deep and eternal grief that I feel I swear and by thee O Night and the spirits that preside over thee to pursue the daemon who caused this misery until he or I shall perish in mortal conflict,I know on the ground and kind the earthquake and with quickly little excited By that same each on which I knew by the shattered there was near me by the despair a n eternal grief that I felt I sweet and by the UNK and they spoke the proceed over them to pursue the day which cause that misery until her or I shall penetrate in mortal combat,42.028985507246375
18,For this purpose I will preserve my life to execute this dear revenge will I again behold the sun and tread the green herbage of earth which otherwise should vanish from my eyes forever,For that purpose I will proclaim my lips to express the defiance revive within I again beholding thy sun and trade the grave her of earth UNK UNK others should various from my eyes foe,38.23529411764706
19,And I call on you spirits of the dead and on you wandering ministers of vengeance to aid and conduct me in my work,And I can on your spirit of the devouring and on your was mixture of vengeance to aid and contempt me in my work,66.66666666666666
